category1_code,category2_code,product_code,title,imageurl,price_eur,title_cleaned
FASHION,HANDBAGS,PAS4278B13693,Lammfell & silberfarbenes Metall  Weiß,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/large-backpack-white-shearling-lambskin-silver-tone-metal-shearling-lambskin-silver-tone-metal-packshot-artistique-vue1-as4278b1369310601-9529172262942.jpg",6200.0,lammfell & silberfarbenes metall weiß
FASHION,SHOES,PG45220B14084,n.a.,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/n.a.",2100.0,
FASHION,SHOES,PG45221B14107,Lammfell  Grau,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/high-boots-gray-shearling-lambskin-shearling-lambskin-packshot-artistique-vue4-g45221b14107nr478-9529165348894.jpg",2300.0,lammfell grau
FASHION,SHOES,PG45289B14502,n.a.,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/n.a.",2600.0,
FASHION,SHOES,PG45317B14605,Bedrucktes Kalbsleder  Schwarz & Weiß,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/slingbacks-black-white-printed-calfskin-printed-calfskin-packshot-artistique-vue1-g45317b14605ns447-9527204708382.jpg",1600.0,bedrucktes kalbsleder schwarz & weiß
JEWELRY,NECKLACES,PJ10809,18 Karat Weißgold  Diamanten  Zuchtperlen  weißes Perlmutt,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/bouton-de-camelia-long-necklace-white-gold-pearl-diamond-packshot-default-j10809-9527988453406.jpg",38800.0,18 karat weißgold diamanten zuchtperlen weißes perlmutt
JEWELRY,COCO CRUSH,PJ11763,Steppmotiv  18 Karat BEIGEGOLD  Diamanten,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/coco-crush-bracelet-beige-beige-gold-diamond-packshot-default-j11763-9527980195870.jpg",13200.0,steppmotiv 18 karat beigegold diamanten
JEWELRY,COCO CRUSH,PJ11793,Steppmotiv  Mini-Modell  18 Karat Weißgold,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/coco-crush-ring-white-white-gold-packshot-default-j11793-8829173694494.jpg",1700.0,steppmotiv mini-modell 18 karat weißgold
FASHION,HANDBAGS,PA92236Y60767,Lammleder & goldfarbenes Metall  Schwarz,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/flap-bag-with-top-handle-black-lambskin-gold-tone-metal-lambskin-gold-tone-metal-packshot-default-a92236y6076794305-9524209942558.jpg",6600.0,lammleder & goldfarbenes metall schwarz
FASHION,SCARVES,PAA9426B13857,Kaschmir & Lammfell  Weiß & Schwarz,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/stole-white-black-cashmere-shearling-lambskin-cashmere-shearling-lambskin-packshot-artistique-vue2-aa9426b13857nq770-9529165086750.jpg",2440.0,kaschmir & lammfell weiß & schwarz
FASHION,HEADWEAR,PAA9627B14811,Seiden-Pongé  Weiß,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/camellia-barrette-white-silk-pongee-silk-pongee--packshot-artistique-vue2-aa9627b1481110601-9528933679134.jpg",890.0,seiden-pongé weiß
JEWELRY,EARRINGS,PJ12039,18 Karat Weißgold  Diamanten,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/bouton-de-camelia-earrings-white-white-gold-diamond-packshot-default-j12039-8845510246430.jpg",33300.0,18 karat weißgold diamanten
JEWELRY,NECKLACES,PJ12086,Veränderbares langes Collier  18 Karat Gelbgold  Diamanten,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/les-infinis-de-camelia-yellow-yellow-gold-diamond-packshot-default-j12086-9527964794910.jpg",50300.0,veränderbares langes collier 18 karat gelbgold diamanten
